encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,strategy,ceiling_recall,ceiling_dark_recall,downlink_eff,tiles
Ours: LoD + value-greedy,Value-greedy (ours),0.6798978095283152,0.6792893875642824,0.7268325868043931,4.489381010995494,9.511807596866849,4.555031933082517,104.65978,104.65978,209.9013021415632,0,Ours: LoD + value-greedy,0.6798978095283152,0.6792893875642824,1.0,40000
"Bent pipe (raw, FIFO)",FIFO,0.0010763507031377963,0.0009374267635340989,0.001036702616838057,11.728052039028704,35.34475067667648,11.655082249044346,201.719808,120175.460352,209.9013021415632,63307,"Bent pipe (raw, FIFO)",0.8397173409457847,0.8408718068900867,0.0012818012093515757,80000
"Phi-sat-2 style, ocean only",FIFO,0.5199475864005428,0.5076165924537146,0.5164283922748935,4.363857430915621,9.401143345168892,4.2860815755443165,26.929,26.929,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5199475864005428,0.5076165924537146,1.0,80000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.6239324238949856,0.6144832434966019,0.6212356826352312,4.396434845076142,9.420506510695107,4.409198329516757,32.398,32.398,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.6239324238949856,0.6144832434966019,1.0,80000
Ours: LoD + no buffer,No buffering,0.37969440999602216,0.36747129130536677,0.40073639327795857,7.141318272967104,10.505512434677943,7.212526703094735,113.89034,208.9863,209.9013021415632,0,Ours: LoD + no buffer,0.6885368650115825,0.6763534098898524,0.5514510976687282,80000
Ours: LoD + FIFO,FIFO,0.6051898823033905,0.5978439184438715,0.6436331410414732,11.024470306126425,17.440062024989814,11.018873588242487,185.80778,208.9863,209.9013021415632,0,Ours: LoD + FIFO,0.6885368650115825,0.6763534098898524,0.8789505879154489,80000
Ours: LoD + value-greedy,Value-greedy (ours),0.6885368650115825,0.6763534098898524,0.7309431563102939,4.5584233741408005,9.647148341883213,4.399209338692547,185.8750547579009,208.9863,209.9013021415632,0,Ours: LoD + value-greedy,0.6885368650115825,0.6763534098898524,1.0,80000
"Bent pipe (raw, FIFO)",FIFO,0.0006042717363515932,0.0003518236190922951,0.0005326143040229024,13.231965311465355,35.400474625870736,23.859109072387724,201.719808,240354.459648,209.9013021415632,131225,"Bent pipe (raw, FIFO)",0.8391475120273316,0.834291075407529,0.0007201019221182075,160000
"Phi-sat-2 style, ocean only",FIFO,0.5190113184744463,0.5133106602556585,0.5173931858657479,4.360578895262054,9.340993626345591,4.2047623485845955,54.275,54.275,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5190113184744463,0.5133106602556585,1.0,160000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.62114486252818,0.6119385481411985,0.6185316489405969,4.392204890272584,9.349972855777722,4.239170202904434,64.922,64.922,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.62114486252818,0.6119385481411985,1.0,160000
Ours: LoD + no buffer,No buffering,0.21437701908104215,0.20663773894687462,0.22616043341472705,8.544445971110907,11.040231710711558,8.576880008700053,131.87404,412.60698,209.9013021415632,0,Ours: LoD + no buffer,0.6836521254096265,0.674797701419022,0.31357617582567016,160000
Ours: LoD + FIFO,FIFO,0.301403769725986,0.29740823267268673,0.3204144405051856,16.862951202447302,26.331289856521977,16.93662465392719,186.73562,412.60698,209.9013021415632,0,Ours: LoD + FIFO,0.6836521254096265,0.674797701419022,0.4408730091278407,160000
Ours: LoD + value-greedy,Value-greedy (ours),0.66719734120436,0.674797701419022,0.7058138777843036,4.886216737366766,10.672040948665195,4.393383770466533,186.77563481077362,412.60698,209.9013021415632,0,Ours: LoD + value-greedy,0.6836521254096265,0.674797701419022,0.975931056755792,160000
