strategy,ship_recall,recall_ci95,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,dropped_storage
"Bent pipe (raw, FIFO)",0.0035852713178294573,"[0.003, 0.004]",0.005797101449275362,0.004218533886583679,22.22628783334884,35.27759684390572,12.45166013720509,201.719808,60057.649152,29332
"Phi-sat-2 style (patch, FIFO)",0.6661337209302326,"[0.660, 0.673]",0.6705314009661836,0.6673928077455048,4.272396639250433,9.422021528948079,4.092574425159519,14.21,14.21,0
Ours: LoD + no buffer,0.7744186046511627,"[0.769, 0.780]",0.7743961352657005,0.7837199170121554,5.645903350763152,9.842730690408638,5.5640622523886005,108.07016,135.76804,0
Ours: LoD + FIFO,0.9709302325581395,"[0.969, 0.973]",0.976328502415459,0.9842119640380428,5.447672579024723,9.69239923116176,5.448002755598201,135.76804,135.76804,0
Ours: LoD + value-greedy,0.9709302325581395,"[0.969, 0.973]",0.976328502415459,0.9841940693873611,4.413085998179124,9.426319177701794,4.224818269118324,135.74532565261953,135.76804,0
