encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,det_thr,detected_frac,false_alarms
Ours: LoD + value-greedy,Value-greedy (ours),0.7679897809528315,0.7690509583917718,0.8218748526582977,4.505957163528567,9.497206319819657,4.566727977954862,117.09628,117.09628,209.9013021415632,0,0.05,0.8433079434167573,16576
Ours: LoD + value-greedy,Value-greedy (ours),0.7430098878743435,0.7466105656848995,0.7960094971873114,4.503438632250958,9.498448427745323,4.566687856500778,110.68238,110.68238,209.9013021415632,0,0.1,0.8110895585939348,8796
Ours: LoD + value-greedy,Value-greedy (ours),0.7238018640299002,0.7237026647966339,0.7740827804527277,4.508080051876221,9.507908402347987,4.573914003904587,107.95908,107.95908,209.9013021415632,0,0.15,0.7837441453375598,5824
Ours: LoD + value-greedy,Value-greedy (ours),0.6798978095283152,0.6792893875642824,0.7268325868043931,4.489381010995494,9.511807596866849,4.555031933082517,104.65978,104.65978,209.9013021415632,0,0.25,0.6994843166012206,2908
Ours: LoD + value-greedy,Value-greedy (ours),0.6113450347731466,0.6115007012622721,0.653616003771355,4.472652427895621,9.52740456061845,4.571523773928597,101.69428,101.69428,209.9013021415632,0,0.4,0.5748214032265695,1190
Ours: LoD + value-greedy,Value-greedy (ours),0.5435965368784595,0.5376344086021505,0.5787808574411362,4.438577749980134,9.549914261545942,4.569977482310136,99.47148,99.47148,209.9013021415632,0,0.55,0.47958556086483417,458
Ours: LoD + value-greedy,Value-greedy (ours),0.4642096797085679,0.4544179523141655,0.49229481696043786,4.433092226064765,9.543888005613978,4.445255586675337,97.62842,97.62842,209.9013021415632,0,0.7,0.3671287316080806,200
