cloud,tiles,ships,found,cand_per_tile,empty_dropped,recall,runtime_ms_median
0.0,164,191,191,1.1646341463414633,1.0,1.0,92.10955002345145
0.3,57,82,59,4.666666666666667,0.0,0.7195121951219512,92.10955002345145
0.7,79,86,28,2.1012658227848102,0.07894736842105263,0.32558139534883723,92.10955002345145
