image,size_px,visible_fraction,visible_px,found,best_iou
4684ece3a.jpg,16.999679999999998,0.2,2.000383999999997,False,0.0
4684ece3a.jpg,16.999679999999998,0.3,3.000383999999997,False,0.0
4684ece3a.jpg,16.999679999999998,0.4,4.000383999999997,False,0.0
4684ece3a.jpg,16.999679999999998,0.5,5.000383999999997,False,0.0
4684ece3a.jpg,16.999679999999998,0.6,6.000383999999997,False,0.0
4684ece3a.jpg,16.999679999999998,0.7,7.000383999999997,False,0.0
4684ece3a.jpg,16.999679999999998,0.8,8.000383999999997,False,0.0
4684ece3a.jpg,16.999679999999998,0.9,9.000383999999997,True,0.7493611567972814
4684ece3a.jpg,16.999679999999998,1.0,10.000128000000018,True,0.72937832443311
beaff72b9.jpg,29.999616,0.2,2.000255999999979,False,0.0
beaff72b9.jpg,29.999616,0.3,3.000255999999979,False,0.0
beaff72b9.jpg,29.999616,0.4,4.000255999999979,False,0.0
beaff72b9.jpg,29.999616,0.5,5.000255999999979,False,0.0
beaff72b9.jpg,29.999616,0.6,7.000255999999979,False,0.0
beaff72b9.jpg,29.999616,0.7,8.000255999999979,False,0.0
beaff72b9.jpg,29.999616,0.8,9.000255999999979,False,0.0
beaff72b9.jpg,29.999616,0.9,10.000255999999979,False,0.0
beaff72b9.jpg,29.999616,1.0,11.000063999999952,False,0.0
dc6adaf6b.jpg,90.000384,0.2,16.00025599999998,False,0.0
dc6adaf6b.jpg,90.000384,0.3,24.00025599999998,False,0.3577075900014642
dc6adaf6b.jpg,90.000384,0.4,32.00025599999998,True,0.7341019461463121
dc6adaf6b.jpg,90.000384,0.5,40.00025599999998,True,0.8208901801612419
dc6adaf6b.jpg,90.000384,0.6,49.00025599999998,True,0.7505228497175379
dc6adaf6b.jpg,90.000384,0.7,57.00025599999998,True,0.824993386034142
dc6adaf6b.jpg,90.000384,0.8,65.00025599999998,True,0.9226097064689829
dc6adaf6b.jpg,90.000384,0.9,73.00025599999998,True,0.9384349210292617
dc6adaf6b.jpg,90.000384,1.0,81.00019199999997,True,0.9552047703119532
