intended_probability,raw_conf_for_raw,share_of_preds_raw,raw_conf_for_platt,share_of_preds_platt,raw_conf_for_isotonic,share_of_preds_isotonic
0.25,0.2500002682209015,0.4810221938923335,0.2322861701250076,0.5008402387436982,0.2780136168003082,0.4519904966100713
0.4,0.4000306725502014,0.3479747348901895,0.3146686553955078,0.41403488439473835,0.3294717967510223,0.4007069594946978
0.5,0.5000091791152954,0.2914179753143652,0.3694859147071838,0.3691835197311236,0.3545925915241241,0.3811207046415947
0.75,0.750056266784668,0.1801008286492438,0.5314964056015015,0.27884336790867476,0.512820303440094,0.28637654285217595
0.9,0.900031328201294,0.03071217476965869,0.6871522665023804,0.20895868343280988,0.6704376339912415,0.21666570087500725
0.95,0.951102614402771,0.002491742481311931,0.7749423384666443,0.16596163875528772,0.7252292037010193,0.1919221185605841
