policy,scale,rise_h,capacity_MB,queue_items,queue_MB,greedy,optimum,bound,gap,buckets,bucket_bytes,resolution,valid,tiles,rep
FIFO,operational,13.210484531111112,8.577590168261082,74056,174.07570668365074,1705.65,11882.78631927996,29097.426859926687,0.856460433254399,4000,2144.3975420652705,0.018653257717072356,True,160000,0
FIFO,small,13.210484531111112,0.03468420214846218,400,0.7038896568051067,28.29,176.97138666576456,183.49445191674425,0.8401436495865309,1734,20.0,2.0,True,160000,0
FIFO,operational,22.197338734166667,29.981995484358475,139037,324.7757491064599,5976.41,20303.06098977161,61512.578413168216,0.7056399523692103,3999,7495.498871089619,0.005336536058231066,True,160000,0
FIFO,small,22.197338734166667,0.04440163632455648,200,0.4809744803805206,14.09,101.78678198928279,108.15656463314214,0.8615733818809249,2220,20.0,2.0,True,160000,0
FIFO,operational,23.749109346666668,38.801440841933804,138037,323.3809512437344,7480.57,20634.1711745187,62858.237751714834,0.6374669020271667,4000,9700.36021048345,0.00412355821145393,True,160000,0
FIFO,small,23.749109346666668,0.04232366980615141,200,0.35273609188366517,6.08,60.55399244346283,65.04725887085951,0.8995937385024334,2116,20.0,2.0,True,160000,0
FIFO,operational,35.282123580833336,47.590179273542404,124014,288.62845672889404,9888.0,20334.920631703324,57896.09063088635,0.5137428771379597,4000,11897.5448183856,0.003362038186079107,True,160000,0
FIFO,small,35.282123580833336,0.05075798637803177,100,0.3078408087254729,15.11,36.526127307076294,41.01121859669158,0.5863235137694791,2537,20.0,2.0,True,160000,0
Value-greedy (ours),operational,0.09089067972222223,24.870337162528504,710,1.9403596998650605,356.43,356.43,356.42999999999597,0.0,4000,6217.584290632126,0.006433366743458061,True,160000,1
Value-greedy (ours),small,0.09089067972222223,0.6696841259794688,25,0.05224810911078971,7.16,7.16,7.159999999999997,0.0,33484,20.0,2.0,True,160000,1
Value-greedy (ours),operational,11.60635736611111,60.079759210938946,88342,204.13385717182072,40082.36542468547,40082.36542468547,42360.638528921256,0.0,4000,15019.939802734736,0.002663126518837116,True,160000,1
Value-greedy (ours),small,11.60635736611111,0.05553223668755784,100,0.1886826748524266,41.70829065608196,41.827729891771966,43.25546716181112,0.002855503657479264,2776,20.0,2.0,True,160000,1
Value-greedy (ours),operational,13.210484531111112,8.577590168261082,75478,172.85213979638664,5597.553585376481,5597.553585376481,6521.636632115584,0.0,4000,2144.3975420652705,0.018653257717072356,True,160000,1
Value-greedy (ours),small,13.210484531111112,0.04443428428826783,400,0.895421787341598,22.88823356579819,25.73544461437505,28.745227985844004,0.11063383948635945,2221,20.0,2.0,True,160000,1
Value-greedy (ours),operational,22.197338734166667,29.981995484358475,141327,326.69606910283056,29958.826471921988,29958.826471921988,33422.459250951724,0.0,3999,7495.498871089619,0.005336536058231066,True,160000,1
Value-greedy (ours),small,22.197338734166667,0.03822692219428678,200,0.4165361582183048,39.747827698734895,40.546511250154815,41.68438902719596,0.019697959868664915,1911,20.0,2.0,True,160000,1
Value-greedy (ours),operational,23.749109346666668,38.801440841933804,134118,324.4027355960365,7290.822394057195,7290.822394057195,10798.984845049536,0.0,4000,9700.36021048345,0.00412355821145393,True,160000,1
Value-greedy (ours),small,23.749109346666668,0.06684866059276041,200,0.5588938940583333,5.6993159285133705,12.597349154448416,16.844602527771755,0.54757815643295,3342,20.0,2.0,True,160000,1
Value-greedy (ours),operational,35.282123580833336,47.590179273542404,131576,290.189185821523,3274.9608223766036,3476.8594003720077,5324.635450556688,0.058069238570245874,4000,11897.5448183856,0.003362038186079107,True,160000,1
Value-greedy (ours),small,35.282123580833336,0.0989920162605439,400,0.603620600720211,3.672253833875404,4.455439514709638,6.41564863987475,0.17578191292880213,219,450.0,2.0,True,160000,1
FIFO,operational,0.09089067972222223,24.870337162528504,710,1.9403596998650605,356.43,356.43,356.42999999999597,0.0,4000,6217.584290632126,0.006433366743458061,True,160000,1
FIFO,small,0.09089067972222223,0.6696841259794688,25,0.05224810911078971,7.16,7.16,7.159999999999997,0.0,33484,20.0,2.0,True,160000,1
FIFO,operational,11.60635736611111,60.079759210938946,88342,204.13385717182072,12671.85,17379.71883812574,42360.638528921256,0.27088291139659454,4000,15019.939802734736,0.002663126518837116,True,160000,1
FIFO,small,11.60635736611111,0.05553223668755784,100,0.1886826748524266,13.1,41.827729891771966,43.25546716181112,0.6868106389255197,2776,20.0,2.0,True,160000,1
FIFO,operational,13.210484531111112,8.577590168261082,74783,172.86022472118358,1811.86,12012.845057984,29519.023864208273,0.8491731150069401,4000,2144.3975420652705,0.018653257717072356,True,160000,1
FIFO,small,13.210484531111112,0.048912124153097924,400,0.9857035142550995,10.12,144.4213841498577,148.29732132510964,0.929927274554445,2445,20.0,2.0,True,160000,1
FIFO,operational,22.197338734166667,29.981995484358475,140385,326.73980803848644,6164.3,20371.654741131882,62385.62578613464,0.6974079877981724,3999,7495.498871089619,0.005336536058231066,True,160000,1
FIFO,small,22.197338734166667,0.04883312312035259,200,0.5321768953833588,17.12,68.93725393319377,75.22583328573933,0.7516582250782605,2441,20.0,2.0,True,160000,1
FIFO,operational,23.749109346666668,38.801440841933804,139268,324.4599878358027,8092.39,20730.394020993906,63959.51516891685,0.6096364597891992,4000,9700.36021048345,0.00412355821145393,True,160000,1
FIFO,small,23.749109346666668,0.050361505491859554,200,0.42112594544741877,10.05,84.63447830650067,86.5098001246479,0.8812540680689932,2518,20.0,2.0,True,160000,1
FIFO,operational,35.282123580833336,47.590179273542404,124300,290.27171841469294,9783.78,20505.97024003936,58515.541140629684,0.5228813908596982,4000,11897.5448183856,0.003362038186079107,True,160000,1
FIFO,small,35.282123580833336,0.062230853022650634,200,0.3795710989334206,21.5,75.44416939236963,81.02353995077463,0.7150210523468962,3111,20.0,2.0,True,160000,1
