policy,scale,rise_h,capacity_MB,queue_items,queue_MB,greedy,optimum,bound,gap,buckets,bucket_bytes,resolution,valid,tiles,rep
FIFO,small,0.09089067972222223,4.261410286001863,25,0.02095043411160114,5.19,5.19,5.189999999999996,0.0,213070,20.0,2.0,True,20000,1
FIFO,operational,11.60635736611111,60.079759210938946,10798,24.74155682499099,5051.18,5051.18,5051.18000000151,0.0,4000,15019.939802734736,0.002663126518837116,True,20000,1
FIFO,small,11.60635736611111,0.20582214881383232,25,0.08476,10.18,10.18,10.179999999999996,0.0,10291,20.0,2.0,True,20000,1
FIFO,operational,13.210484531111112,8.577590168261082,1444,3.386000404795381,677.48,677.48,677.4799999999914,0.0,4000,2144.3975420652705,0.018653257717072356,True,20000,1
FIFO,small,13.210484531111112,0.21614184454901603,25,0.08532190962494496,11.18,11.18,11.179999999999996,0.0,10807,20.0,2.0,True,20000,1
FIFO,operational,22.197338734166667,29.981995484358475,8748,20.543226162019774,4348.22,4348.22,4348.2200000011835,0.0,3999,7495.498871089619,0.005336536058231066,True,20000,1
FIFO,small,22.197338734166667,0.07644646031177668,25,0.05238,5.18,5.18,5.179999999999996,0.0,3822,20.0,2.0,True,20000,1
FIFO,operational,23.749109346666668,38.801440841933804,1454,3.3160730297676353,657.1,657.1,657.0999999999917,0.0,4000,9700.36021048345,0.00412355821145393,True,20000,1
FIFO,small,23.749109346666668,0.9688747697537968,25,0.08280258215902812,15.14,15.14,15.139999999999997,0.0,48443,20.0,2.0,True,20000,1
FIFO,operational,35.282123580833336,47.590179273542404,269,0.6235248408007911,144.58,144.58000000000018,144.57999999999856,1.1794871806779903e-15,4000,11897.5448183856,0.003362038186079107,True,20000,1
FIFO,small,35.282123580833336,4.58953154898569,25,0.06013187956243853,29.11,29.110000000000014,29.110000000000017,4.881777641773273e-16,229476,20.0,2.0,True,20000,1
Value-greedy (ours),operational,0.09089067972222223,24.870337162528504,129,0.2837869982624869,39.92,39.92000000000003,39.91999999999982,7.119666690982962e-16,4000,6217.584290632126,0.006433366743458061,True,40000,0
Value-greedy (ours),small,0.09089067972222223,1.7597577608086739,25,0.02008000009591493,10.19,10.19,10.189999999999996,0.0,87987,20.0,2.0,True,40000,0
Value-greedy (ours),operational,11.60635736611111,60.079759210938946,22020,51.992900768171964,10449.47,10449.47,10449.470000003044,0.0,4000,15019.939802734736,0.002663126518837116,True,40000,0
Value-greedy (ours),small,11.60635736611111,0.059400340807952416,25,0.051404933471523466,13.14,13.14,13.139999999999997,0.0,2970,20.0,2.0,True,40000,0
Value-greedy (ours),operational,13.210484531111112,8.577590168261082,3060,7.979599038896058,1500.58,1500.58,1500.5799999999822,0.0,4000,2144.3975420652705,0.018653257717072356,True,40000,0
