tiles,bound,clairvoyant,online_greedy,online_fifo,offered_value,total_gap,price_of_online,clair_gap,fifo_gap
20000,10755.77000000316,10755.77000000316,10755.77,10755.77,10755.77,2.9382975335053827e-13,2.9382975335053827e-13,0.0,2.9382975335053827e-13
40000,21715.10499995364,21715.10499995364,21715.105,21715.105,21715.105,0.0,0.0,0.0,0.0
80000,44156.88500011804,44156.21737920949,44156.66732233833,38050.945,44156.884999999995,4.972669575287766e-06,0.0,1.5127305530035765e-05,0.13835493655267744
160000,88322.52627330145,85459.8964870104,85445.2128857789,38135.385,88513.0,0.03258138417446818,0.0001663467110766083,0.03241503746339157,0.5682632808794643
320000,174491.5939968817,162574.76495849132,162181.93864725385,38363.64,176708.77,0.0705460056596709,0.002251009689142169,0.06829499597052872,0.7801590907100666
