encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,strategy,ceiling_recall,ceiling_dark_recall,downlink_eff,tiles
Ours: LoD + FIFO,FIFO,0.37377700280926085,0.3717277486910995,0.3928822719448052,16.90148075193969,26.32795971174086,16.870523300939094,186.5677612670945,417.9085632812352,209.9013021415632,0,Ours: LoD + FIFO,0.8397429687752268,0.8400761542122799,0.4451088210412982,40000
Ours: LoD + value-greedy,Value-greedy (ours),0.7839936710904453,0.8400761542122799,0.8384890290040944,5.040307029292314,10.784542881967957,4.766187547974559,186.60555640244579,417.9085632812352,209.9013021415632,0,Ours: LoD + value-greedy,0.8397429687752268,0.8400761542122799,0.9336114742751673,40000
"Bent pipe (raw, FIFO)",FIFO,0.0015306990192187765,0.001707455890722823,0.0015810597154092513,22.28239346921365,35.338528029945394,22.249444910080626,201.719808,140975.603712,209.9013021415632,75062,"Bent pipe (raw, FIFO)",0.9985178946004389,0.9994308480364257,0.0015329710438802822,80000
"Phi-sat-2 style, ocean only",FIFO,0.5358337450292776,0.5402878282787218,0.5371027804643567,4.463634178858563,9.475778167306254,4.444814041302417,77.467,77.467,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5358337450292776,0.5402878282787218,1.0,80000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.7245956605897645,0.7331490365070331,0.7270326462769808,4.4839718234284245,9.444275685076635,4.431368984731459,106.219,106.219,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.7245956605897645,0.7331490365070331,1.0,80000
Ours: LoD + no buffer,No buffering,0.14778129631579373,0.14936173672656314,0.15596551784045173,8.860467813934696,11.330739472704852,8.818710134361186,148.81726494594275,838.2762895415316,209.9013021415632,0,Ours: LoD + no buffer,0.8399893094036753,0.8386047646150093,0.17593235373519994,80000
Ours: LoD + FIFO,FIFO,0.1894665230455241,0.186681844052362,0.19838737700449907,19.9891885022014,30.85759796844571,19.9709750662236,187.87144455723148,838.2762895415316,209.9013021415632,0,Ours: LoD + FIFO,0.8399893094036753,0.8386047646150093,0.22555825523545062,80000
Ours: LoD + value-greedy,Value-greedy (ours),0.7121313971475546,0.8279534921538336,0.7751126604989687,5.415770455780734,11.219870085557437,5.862510268634204,187.94000202463118,838.2762895415316,209.9013021415632,0,Ours: LoD + value-greedy,0.8399893094036753,0.8386047646150093,0.8477862624860195,80000
"Bent pipe (raw, FIFO)",FIFO,0.0007647301595008619,0.0006496406675057858,0.0007319288784998062,22.29663653740359,35.36061629369145,16.97002893541663,201.719808,281993.674752,209.9013021415632,154757,"Bent pipe (raw, FIFO)",0.9985636020813609,0.9990255389987414,0.0007658301964010033,160000
"Phi-sat-2 style, ocean only",FIFO,0.5356550379128127,0.5345324617321044,0.535335096134374,7.399453040286796,11.53699153250421,7.4028170983258965,154.94,154.94,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5356550379128127,0.5345324617321044,1.0,160000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.634458983758588,0.6359982134881643,0.634897674606986,11.143482056126288,17.556324772758373,11.162849893431599,185.865,211.738,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.7226740469196345,0.7222380120995574,0.8779324322811103,160000
Ours: LoD + no buffer,No buffering,0.0808064868539244,0.08019001989524545,0.08474943731156757,8.959097390680952,11.427261288324928,8.935067785052222,160.85460364538184,1674.7760924238255,209.9013021415632,0,Ours: LoD + no buffer,0.8382939638917887,0.8423403305046896,0.09639397435092986,160000
Ours: LoD + FIFO,FIFO,0.09607681289602098,0.09671525437492387,0.10121213786875832,21.038519789599782,33.025948288802745,21.058091175751944,191.00226011373786,1674.7760924238255,209.9013021415632,0,Ours: LoD + FIFO,0.8382939638917887,0.8423403305046896,0.11460993044729005,160000
Ours: LoD + value-greedy,Value-greedy (ours),0.6490981039547474,0.7095700190831946,0.6866808886685257,5.628108585004599,11.46912722304467,5.770777855442168,191.06555438521036,1674.7760924238255,209.9013021415632,0,Ours: LoD + value-greedy,0.8382939638917887,0.8423403305046896,0.7743084549258861,160000
