encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,det_thr,detected_frac,false_alarms
Ours: LoD + value-greedy,Value-greedy (ours),0.7679897809528315,0.7690509583917718,0.8218748526582977,4.5034648673144,9.497206319819657,4.566545993350927,120.51924805427923,120.51987694016236,209.9013021415632,0,0.05,0.8433079434167573,16576
Ours: LoD + value-greedy,Value-greedy (ours),0.7430098878743435,0.7466105656848995,0.7960094971873114,4.502266415766652,9.498760164637085,4.566516512345062,114.22590724128504,114.22590724128399,209.9013021415632,0,0.1,0.8110895585939348,8796
Ours: LoD + value-greedy,Value-greedy (ours),0.7238018640299002,0.7237026647966339,0.7740827804527277,4.507995429155293,9.507908402347987,4.572959623953826,111.58596280098502,111.585962800984,209.9013021415632,0,0.15,0.7837441453375598,5824
Ours: LoD + value-greedy,Value-greedy (ours),0.6798978095283152,0.6792893875642824,0.7268325868043931,4.48948748247299,9.512062119545197,4.5550942386640685,108.51159137289078,108.51159137289005,209.9013021415632,0,0.25,0.6994843166012206,2908
Ours: LoD + value-greedy,Value-greedy (ours),0.6113450347731466,0.6115007012622721,0.653616003771355,4.47421484593359,9.527306669691349,4.570902342033032,106.00640033695693,106.00640033695679,209.9013021415632,0,0.4,0.5748214032265695,1190
Ours: LoD + value-greedy,Value-greedy (ours),0.5435965368784595,0.5376344086021505,0.5787808574410365,4.439875741959816,9.549914261545942,4.569512390677726,104.04725847235296,104.04725847235301,209.9013021415632,0,0.55,0.47958556086483417,458
Ours: LoD + value-greedy,Value-greedy (ours),0.4642096797085679,0.4544179523141655,0.49229481696043786,4.435252498862268,9.543328178038,4.445255586675337,102.09753482449297,102.09753482449294,209.9013021415632,0,0.7,0.3671287316080806,200
