encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,strategy,ceiling_recall,ceiling_dark_recall,downlink_eff,tiles
Ours: LoD + FIFO,FIFO,0.6798978095283152,0.6792893875642824,0.7268325868047351,4.565071354595843,9.52697195669447,4.6292330698556095,108.51159137289122,108.51159137289005,209.9013021415632,0,Ours: LoD + FIFO,0.6798978095283152,0.6792893875642824,1.0,40000
Ours: LoD + value-greedy,Value-greedy (ours),0.6798978095283152,0.6792893875642824,0.7268325868043931,4.48948748247299,9.512062119545197,4.5550942386640685,108.51159137289078,108.51159137289005,209.9013021415632,0,Ours: LoD + value-greedy,0.6798978095283152,0.6792893875642824,1.0,40000
"Bent pipe (raw, FIFO)",FIFO,0.0010763507031377963,0.0009374267635340989,0.001036702616838057,11.728052039028704,35.34475067667648,11.655082249044346,201.719808,120175.460352,209.9013021415632,63307,"Bent pipe (raw, FIFO)",0.8397173409457847,0.8408718068900867,0.0012818012093515757,80000
"Phi-sat-2 style, ocean only",FIFO,0.5199475864005428,0.5076165924537146,0.5164283922748935,4.363857430915621,9.401143345168892,4.2860815755443165,26.929,26.929,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5199475864005428,0.5076165924537146,1.0,80000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.6239324238949856,0.6144832434966019,0.6212356826352312,4.396434845076142,9.420506510695107,4.409198329516757,32.398,32.398,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.6239324238949856,0.6144832434966019,1.0,80000
Ours: LoD + no buffer,No buffering,0.3697966633128203,0.35598781345207403,0.3895966892398592,7.234389915649481,10.552243658752998,7.308196263852992,114.52409836761537,216.69480778558622,209.9013021415632,0,Ours: LoD + no buffer,0.6885368650115825,0.6763534098898524,0.5370760551892884,80000
Ours: LoD + FIFO,FIFO,0.5860963567868591,0.5816733067729084,0.6242302483066962,11.320403328334908,18.044965904658017,11.306532321595608,185.82504911533226,216.69480778558622,209.9013021415632,0,Ours: LoD + FIFO,0.6885368650115825,0.6763534098898524,0.8512200095153944,80000
Ours: LoD + value-greedy,Value-greedy (ours),0.6885368650115825,0.6763534098898524,0.730944149857126,4.594811115946733,9.719525276579384,4.397727668490067,185.883325508674,216.69480778558622,209.9013021415632,0,Ours: LoD + value-greedy,0.6885368650115825,0.6763534098898524,1.0,80000
"Bent pipe (raw, FIFO)",FIFO,0.0006042717363515932,0.0003518236190922951,0.0005326143040229024,13.231965311465355,35.400474625870736,23.859109072387724,201.719808,240354.459648,209.9013021415632,131225,"Bent pipe (raw, FIFO)",0.8391475120273316,0.834291075407529,0.0007201019221182075,160000
"Phi-sat-2 style, ocean only",FIFO,0.5190113184744463,0.5133106602556585,0.5173931858657479,4.360578895262054,9.340993626345591,4.2047623485845955,54.275,54.275,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5190113184744463,0.5133106602556585,1.0,160000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.62114486252818,0.6119385481411985,0.6185316489405969,4.392204890272584,9.349972855777722,4.239170202904434,64.922,64.922,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.62114486252818,0.6119385481411985,1.0,160000
Ours: LoD + no buffer,No buffering,0.20929881237362585,0.20159493373988507,0.22074466137366108,8.584329563316945,11.064722347389905,8.628871387998721,133.0168186460726,427.82116757670764,209.9013021415632,0,Ours: LoD + no buffer,0.6836521254096265,0.674797701419022,0.30614811918886303,160000
Ours: LoD + FIFO,FIFO,0.29316475701303835,0.28802626949689225,0.3111645944639816,17.048048292076896,26.588540452735117,17.1405222236913,186.75072495073837,427.82116757670764,209.9013021415632,0,Ours: LoD + FIFO,0.6836521254096265,0.674797701419022,0.4288215396644627,160000
Ours: LoD + value-greedy,Value-greedy (ours),0.6622353406000883,0.674797701419022,0.7017981314653555,4.867634590054048,10.609727380852338,4.428747819362339,186.83740347131655,427.82116757670764,209.9013021415632,0,Ours: LoD + value-greedy,0.6836521254096265,0.674797701419022,0.9686729785317264,160000
