load,param,value,ship_recall,dark_recall,MB_offered,latency_med_h,greedy_minus_fifo,ours_minus_baseline,n_dark
40000,(baseline),,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,dark_weight,1.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.489360099207305,0.0,0.06330131996025923,2139
40000,dark_weight,2.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.489373878292548,0.0,0.06330131996025923,2139
40000,dark_weight,5.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,dark_weight,10.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.490664654572286,0.0,0.06330131996025923,2139
40000,dark_weight,20.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.492553283250783,0.0,0.06330131996025923,2139
40000,dark_wake_value,0.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.489381010995494,0.0,0.06330131996025923,2139
40000,dark_wake_value,0.5,0.6798978095283152,0.6792893875642824,108.51159137289005,4.489381010995494,0.0,0.06330131996025923,2139
40000,dark_wake_value,1.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,dark_wake_value,2.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.490664443496819,0.0,0.06330131996025923,2139
40000,dark_wake_value,5.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.491968210891487,0.0,0.06330131996025923,2139
40000,thumb_value,0.001,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,thumb_value,0.005,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,thumb_value,0.01,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,thumb_value,0.05,0.6798978095283152,0.6792893875642824,108.51159137289005,4.492336897816617,0.0,0.06330131996025923,2139
40000,thumb_value,0.1,0.6798978095283152,0.6792893875642824,108.51159137289005,4.493743320387685,0.0,0.06330131996025923,2139
40000,p_dark,0.02,0.6798978095283152,0.7032710280373832,102.89489982764132,4.489364638200091,0.0,0.06330131996025923,428
40000,p_dark,0.05,0.6798978095283152,0.6910268270120259,105.03279856625589,4.489370636154842,0.0,0.06330131996025923,1081
40000,p_dark,0.1,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,p_dark,0.2,0.6798978095283152,0.6728905696052943,114.66452997546065,4.4914214407650634,0.0,0.06330131996025923,4231
40000,p_dark,0.4,0.6798978095283152,0.6823736780258519,128.56820343048167,4.4923918520507,0.0,0.06330131996025923,8510
40000,cloud,0.0,0.8189204599448826,0.8243052284503062,124.1355348848618,4.523349834294972,0.0,0.07331559441223978,2123
40000,cloud,0.05,0.7711445152697174,0.7573044297832233,116.6058898032817,4.501328086876735,0.0,0.0678812672438397,2122
40000,cloud,0.15,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,cloud,0.3,0.5623717217787914,0.5555555555555556,89.17445062949007,4.348739984455102,0.0,0.04542759407069552,2214
40000,cloud,0.5,0.3957536772974675,0.41785714285714287,61.72663347633594,4.146862724441636,0.0,0.034996176510278476,2240
40000,conf_high,0.6,0.6798978095283152,0.6792893875642824,107.74183751401485,4.489406623883357,0.0,0.06330131996025923,2139
40000,conf_high,0.67,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,conf_high,0.8,0.6798978095283152,0.6792893875642824,111.06894115663701,4.491097701736376,0.0,0.06330131996025923,2139
40000,conf_high,0.9,0.6798978095283152,0.6792893875642824,117.86276484410246,4.49787884158631,0.0,0.06330131996025923,2139
40000,conf_high,0.99,0.6798978095283152,0.6792893875642824,120.61799326615952,4.502610381638649,0.0,0.06330131996025923,2139
40000,conf_low,0.05,0.7679897809528315,0.7690509583917718,110.23917694016237,4.5034648673144,0.0,0.035482802668306834,2139
40000,conf_low,0.1,0.7430098878743435,0.7466105656848995,109.763907241284,4.502266415766652,0.0,0.042721294412641275,2139
40000,conf_low,0.25,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,conf_low,0.329,0.6481998391446279,0.6474988312295465,107.95750625469569,4.4823159514977915,0.0,0.07200643421488384,2139
40000,conf_low,0.4,0.6113450347731466,0.6115007012622721,107.30530033695679,4.47421484593359,0.0,0.0783460282916213,2139
40000,aging,0.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.4894412650995665,0.0,0.06330131996025923,2139
40000,aging,0.25,0.6798978095283152,0.6792893875642824,108.51159137289005,4.489689531387747,0.0,0.06330131996025923,2139
40000,aging,0.5,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,aging,1.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.4894667560643775,0.0,0.06330131996025923,2139
40000,aging,2.0,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48937841728533,0.0,0.06330131996025923,2139
160000,(baseline),,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,dark_weight,1.0,0.6621423757175727,0.6526328134162074,427.82116757670764,4.927128181105493,0.3689776187045344,0.04099751318939271,8527
160000,dark_weight,2.0,0.6622353406000883,0.674797701419022,427.82116757670764,4.921623972976793,0.3690705835870499,0.04109047807190824,8527
160000,dark_weight,5.0,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,dark_weight,10.0,0.6622353406000883,0.674797701419022,427.82116757670764,4.847408172749352,0.3690705835870499,0.04109047807190824,8527
160000,dark_weight,20.0,0.6622353406000883,0.674797701419022,427.82116757670764,4.85431570839223,0.3690705835870499,0.04109047807190824,8527
160000,dark_wake_value,0.0,0.6716131731238525,0.674797701419022,427.82116757670764,4.872124202602748,0.37844841611081415,0.05046831059567247,8527
160000,dark_wake_value,0.5,0.6648615985311549,0.674797701419022,427.82116757670764,4.863562355564799,0.37169684151811655,0.043716736002974876,8527
160000,dark_wake_value,1.0,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,dark_wake_value,2.0,0.6617821367978246,0.674797701419022,427.82116757670764,4.875694179312715,0.36861737978478626,0.040637274269644585,8527
160000,dark_wake_value,5.0,0.6617937574081391,0.674797701419022,427.82116757670764,4.89661356727628,0.3686290003951007,0.04064889487995904,8527
160000,thumb_value,0.001,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,thumb_value,0.005,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,thumb_value,0.01,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,thumb_value,0.05,0.6389127756989798,0.674797701419022,427.82116757670764,4.795032336006811,0.3457480186859414,0.017767913170799732,8527
160000,thumb_value,0.1,0.6248750784391196,0.674797701419022,427.82116757670764,4.865274172371792,0.33171032142608126,0.0037302159109395827,8527
160000,p_dark,0.02,0.6696609105910243,0.6863301191151446,405.9373075784579,4.9159831538558985,0.36256304181095594,0.048516048062844264,1763
160000,p_dark,0.05,0.6668022404536686,0.6738826815642458,413.95308889459545,4.8917104457740725,0.36570060659585846,0.04565737792548863,4296
160000,p_dark,0.1,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,p_dark,0.2,0.6530550584516699,0.6796133567662566,456.01136487750836,4.821269589249093,0.37792548864666375,0.03191019592348987,17070
160000,p_dark,0.4,0.6461407953145699,0.681928132194795,511.2799427947582,4.909349850836996,0.4005043344876473,0.024995932786389896,34313
160000,cloud,0.0,0.7745190272355238,0.8131229235880398,502.1624939885837,4.907247107052827,0.4735170986405758,0.03706665412295973,8428
160000,cloud,0.05,0.7361896809248827,0.7719506407214048,479.4664022491706,4.8104166109844435,0.43855481200089386,0.03725875310195581,8428
160000,cloud,0.15,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,cloud,0.3,0.5516295301397068,0.5627314814814814,353.6985389083333,4.9843348434710215,0.26214829355649694,0.043668423046458016,8640
160000,cloud,0.5,0.39179573043114274,0.38700854700854703,246.87383893037526,4.6082734380568215,0.09943095041462557,0.0344823685133438,8775
160000,conf_high,0.6,0.6633625398005903,0.674797701419022,424.58396004325994,4.866316770002567,0.36790852255560463,0.042217677272410326,8527
160000,conf_high,0.67,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,conf_high,0.8,0.6582959537034885,0.674797701419022,438.7097019135781,4.871871964289379,0.37235921630604035,0.03715109117530846,8527
