product,quality,bytes,psnr,n_ships
whole tile,80,232732,35.303970304786574,
ROI mosaic x1.5,60,21867,,1.0
ROI mosaic x1.5,80,32750,,1.0
thumbnail 48px,30,675,,
thumbnail 48px,60,690,,
thumbnail 48px,80,725,,
thumbnail 64px,30,707,,
thumbnail 64px,60,727,,
thumbnail 64px,80,798,,
thumbnail 96px,30,805,,
thumbnail 96px,60,853,,
thumbnail 96px,80,1045,,
thumbnail 128px,30,933,,
thumbnail 128px,60,1047,,
thumbnail 128px,80,1514,,
whole tile,30,23657,36.14058170076751,
whole tile,40,29857,38.102357032378826,
whole tile,50,36816,40.37182168851888,
whole tile,60,38750,41.20060672149659,
whole tile,80,71191,47.66186975937708,
ROI mosaic x1.5,60,2861,,1.0
ROI mosaic x1.5,80,4023,,1.0
thumbnail 48px,30,697,,
thumbnail 48px,60,768,,
thumbnail 48px,80,900,,
thumbnail 64px,30,743,,
thumbnail 64px,60,899,,
thumbnail 64px,80,1116,,
thumbnail 96px,30,985,,
thumbnail 96px,60,1496,,
thumbnail 96px,80,2239,,
thumbnail 128px,30,1542,,
thumbnail 128px,60,2557,,
thumbnail 128px,80,3985,,
whole tile,30,57234,33.48806370665233,
whole tile,40,66135,34.66822668564286,
whole tile,50,76068,35.623313021527316,
whole tile,60,82235,36.67433526124736,
whole tile,80,126287,41.62850420431785,
ROI mosaic x1.5,60,18309,,2.0
ROI mosaic x1.5,80,25462,,2.0
thumbnail 48px,30,685,,
thumbnail 48px,60,702,,
thumbnail 48px,80,734,,
thumbnail 64px,30,713,,
thumbnail 64px,60,734,,
thumbnail 64px,80,766,,
thumbnail 96px,30,822,,
thumbnail 96px,60,856,,
thumbnail 96px,80,964,,
thumbnail 128px,30,950,,
thumbnail 128px,60,1001,,
thumbnail 128px,80,1208,,
whole tile,30,22268,37.22806025239555,
whole tile,40,28285,38.86712169676375,
whole tile,50,35366,40.59436584937673,
whole tile,60,37291,41.20303840514463,
whole tile,80,67010,48.24245998764457,
ROI mosaic x1.5,60,5320,,1.0
ROI mosaic x1.5,80,7784,,1.0
thumbnail 48px,30,751,,
thumbnail 48px,60,885,,
thumbnail 48px,80,1111,,
thumbnail 64px,30,893,,
thumbnail 64px,60,1166,,
thumbnail 64px,80,1619,,
thumbnail 96px,30,1482,,
thumbnail 96px,60,2193,,
thumbnail 96px,80,3387,,
thumbnail 128px,30,2490,,
thumbnail 128px,60,3898,,
thumbnail 128px,80,6008,,
whole tile,30,60629,32.99802626794677,
whole tile,40,70187,34.15198063255018,
whole tile,50,80689,35.272936806782795,
