encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,det_thr,detected_frac,false_alarms
Ours: LoD + value-greedy,Value-greedy (ours),0.8672220607704478,0.9252736792003807,0.9283230693703438,5.0050625254246395,10.673925922724994,4.7547895796467134,186.6943129978936,444.29231683387155,209.9013021415632,0,0.05,0.8615712486680228,44059
Ours: LoD + value-greedy,Value-greedy (ours),0.8422454712777293,0.9009995240361732,0.901832735509734,5.01701667382974,10.704345961363588,4.782270991634012,186.65506347023089,430.819906362689,209.9013021415632,0,0.1,0.8219509832413058,23906
Ours: LoD + value-greedy,Value-greedy (ours),0.8241144370176628,0.8818023163572902,0.8820246185731113,5.033590853106009,10.725756006773576,4.794488051819151,186.63362983984084,424.9906474542025,209.9013021415632,0,0.15,0.7888695146759663,15915
Ours: LoD + value-greedy,Value-greedy (ours),0.7839936710904453,0.8400761542122799,0.8384890290040944,5.040307029292314,10.784542881967957,4.766187547974559,186.60555640244579,417.9085632812352,209.9013021415632,0,0.25,0.7262585165810972,8242
Ours: LoD + value-greedy,Value-greedy (ours),0.7143110852788273,0.7723306362049818,0.764510395644766,5.094386755763771,10.959779243091196,4.7423499863122105,186.5765613002272,411.29465651318594,209.9013021415632,0,0.4,0.6304045981465336,3431
Ours: LoD + value-greedy,Value-greedy (ours),0.6483741806322452,0.7042678089798509,0.6931167386371742,5.16455400448225,11.160923752627223,4.742392155449259,186.5264227568189,405.99522879211537,209.9013021415632,0,0.55,0.5349865995027285,1448
Ours: LoD + value-greedy,Value-greedy (ours),0.5669540508250186,0.6109788989370141,0.6016419206179506,5.2627799201981835,11.370137525188184,4.761532371255811,186.4998785186286,399.7954527337943,209.9013021415632,0,0.7,0.41746585294972394,545
