strategy,ship_recall,recall_ci95,recall_spread,ceiling_recall,downlink_eff,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,data_reduction_x,dropped_storage
"Bent pipe (raw, FIFO)",0.003051438535309503,"[0.003, 0.004]","[0.003, 0.003]",0.9984984984984985,0.0030560271646859084,0.0033317467872441696,0.0031325301204819275,22.26450700874858,35.31069545516518,22.26450700874858,201.719808,70479.839232,349.39473684210526,35222.0
"Phi-sat-2 style, ocean only",0.5396687009590235,"[0.536, 0.544]","[0.540, 0.540]",0.5396687009590235,1.0,0.5443439631921307,0.5410212277682157,4.430116252915333,9.41853156280031,4.489731738524422,38.968,38.968,1808.6593931430916,0.0
"Phi-sat-2 style, fair (+coastal)",0.7255642739513707,"[0.722, 0.729]","[0.726, 0.726]",0.7255642739513707,1.0,0.7282246549262256,0.7263339070567987,4.40506945939539,9.401142000996106,4.453084555852536,53.182,53.182,1325.2574034823813,0.0
Ours: LoD + no buffer,0.26266589169814974,"[0.259, 0.266]","[0.263, 0.263]",0.8397429687752268,0.3127932015688687,0.27478978264318576,0.28087527251859046,8.562527920199923,11.011873746168162,8.516491130152183,131.46702816168303,417.9085632812352,536.1027796667106,0.0
Ours: LoD + FIFO,0.37377700280926085,"[0.370, 0.378]","[0.374, 0.374]",0.8397429687752268,0.4451088210412982,0.3717277486910995,0.3928822719448052,16.90148075193969,26.32795971174086,16.870523300939094,186.5677612670945,417.9085632812352,377.77072926924126,0.0
Ours: LoD + value-greedy,0.7839936710904453,"[0.781, 0.787]","[0.784, 0.784]",0.8397429687752268,0.9336114742751673,0.8400761542122799,0.8384890290040944,5.040307029292314,10.784542881967957,4.766187547974559,186.60555640244579,417.9085632812352,377.6942154926971,0.0
