image,context,cloud_frac,edge_density,big_blob_frac,n_candidates,prefilter_ms,n_fp_0.05,n_tp_0.05,n_fp_0.25,n_tp_0.25,n_fp_0.4,n_tp_0.4,n_ships,ctx3
52edd602d.jpg,empty_sea,0.0,0.0,0.0,0,85.88699996471405,0,0,0,0,0,0,0,empty
52f4119ad.jpg,candidates,0.0,0.0016004774305555555,0.0,9,88.95150001626462,0,0,0,0,0,0,0,empty
52f502baa.jpg,candidates,0.0,0.0011986626519097222,0.0,22,84.6529999980703,0,1,0,1,0,1,1,ships
53019f435.jpg,candidates,0.0,0.002227783203125,0.0,11,99.34670000802726,0,1,0,1,0,1,1,ships
5301c06b0.jpg,land_coast,0.0,0.2913089328342014,0.0,6,120.48229994252324,0,1,0,1,0,1,2,coast
5308253c9.jpg,candidates,0.0,0.011766221788194444,0.0,1,97.8445999789983,0,2,0,1,0,0,1,ships
5315edf2b.jpg,candidates,0.0,0.005109998914930556,0.0,79,77.54379999823868,0,0,0,0,0,0,0,empty
53331228d.jpg,candidates,0.0,0.003304375542534722,0.0,17,81.6207000752911,2,1,0,1,0,1,1,ships
53587f9f4.jpg,land_coast,0.0,0.3019443088107639,0.0,3,90.39060003124177,0,2,0,2,0,2,2,coast
5360e7f42.jpg,candidates,0.0,0.002373589409722222,0.0,11,87.16939995065331,0,1,0,1,0,1,1,ships
5389801a5.jpg,land_coast,0.0,0.2591908772786458,0.0,1,95.92360001988709,0,0,0,0,0,0,0,coast
539cab1eb.jpg,candidates,0.0,0.0012868245442708333,0.0,1,87.14590000454336,0,1,0,1,0,1,1,ships
539fbe684.jpg,land_coast,0.0,0.21323649088541666,0.012971666124131944,29,96.86940000392497,2,1,0,1,0,1,1,coast
53a7bbf1f.jpg,candidates,0.0,6.103515625e-05,0.0,8,110.51759996917099,0,3,0,1,0,0,1,ships
53b260be4.jpg,candidates,0.0,0.002280341254340278,0.0,10,97.47809998225421,0,2,0,2,0,2,2,ships
53d5c88cb.jpg,land_coast,0.0,0.008819580078125,0.1335822211371528,58,78.9513000054285,5,4,0,0,0,0,3,coast
