workload,strategy,ship_recall,dark_recall,latency_med_h,MB_sent
REAL detections (WP6),"Bent pipe (raw, FIFO)",0.003051438535309503,0.0033317467872441696,22.26450700874858,201.719808
REAL detections (WP6),"Phi-sat-2 style, ocean only",0.5396687009590235,0.5443439631921307,4.430116252915333,38.968
REAL detections (WP6),"Phi-sat-2 style, fair (+coastal)",0.7255642739513707,0.7282246549262256,4.40506945939539,53.182
REAL detections (WP6),Ours: LoD + no buffer,0.26266589169814974,0.27478978264318576,8.562527920199923,131.46702816168303
REAL detections (WP6),Ours: LoD + FIFO,0.37377700280926085,0.3717277486910995,16.90148075193969,186.5677612670945
REAL detections (WP6),Ours: LoD + value-greedy,0.7839936710904453,0.8400761542122799,5.040307029292314,186.60555640244579
SYNTHETIC (WP5),"Bent pipe (raw, FIFO)",0.0035852713178294573,0.005797101449275362,22.22628783334884,201.719808
SYNTHETIC (WP5),"Phi-sat-2 style, ocean only",0.6928294573643411,0.693719806763285,4.27085993196442,14.761
SYNTHETIC (WP5),"Phi-sat-2 style, fair (+coastal)",0.9961240310077519,0.9980676328502416,4.351854232932952,21.021
SYNTHETIC (WP5),Ours: LoD + no buffer,0.8878875968992248,0.8879227053140096,5.078297294654462,97.50942
SYNTHETIC (WP5),Ours: LoD + FIFO,0.9976259689922481,0.9995169082125603,4.4215107723276645,109.37874
SYNTHETIC (WP5),Ours: LoD + value-greedy,0.9976259689922481,0.9995169082125603,4.354694874157162,109.37874
