load,cloud,thumb_value,ship_recall,dark_recall,MB_offered,latency_med_h,greedy_minus_fifo,ours_minus_baseline,n_dark
40000,0.0,0.001,0.8189204599448826,0.8243052284503062,124.1355348848618,4.523349834294972,0.0,0.07331559441223978,2123
40000,0.0,0.01,0.8189204599448826,0.8243052284503062,124.1355348848618,4.523349834294972,0.0,0.07331559441223978,2123
40000,0.0,0.05,0.8189204599448826,0.8243052284503062,124.1355348848618,4.559945541148483,0.0,0.07331559441223978,2123
40000,0.0,0.1,0.8189204599448826,0.8243052284503062,124.1355348848618,4.568380731542463,0.0,0.07331559441223978,2123
40000,0.15,0.001,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,0.15,0.01,0.6798978095283152,0.6792893875642824,108.51159137289005,4.48948748247299,0.0,0.06330131996025923,2139
40000,0.15,0.05,0.6798978095283152,0.6792893875642824,108.51159137289005,4.492336897816617,0.0,0.06330131996025923,2139
40000,0.15,0.1,0.6798978095283152,0.6792893875642824,108.51159137289005,4.493743320387685,0.0,0.06330131996025923,2139
40000,0.3,0.001,0.5623717217787914,0.5555555555555556,89.17445062949007,4.348739984455102,0.0,0.04542759407069552,2214
40000,0.3,0.01,0.5623717217787914,0.5555555555555556,89.17445062949007,4.348739984455102,0.0,0.04542759407069552,2214
40000,0.3,0.05,0.5623717217787914,0.5555555555555556,89.17445062949007,4.350684197084497,0.0,0.04542759407069552,2214
40000,0.3,0.1,0.5623717217787914,0.5555555555555556,89.17445062949007,4.351758315484655,0.0,0.04542759407069552,2214
40000,0.5,0.001,0.3957536772974675,0.41785714285714287,61.72663347633594,4.146862724441636,0.0,0.034996176510278476,2240
40000,0.5,0.01,0.3957536772974675,0.41785714285714287,61.72663347633594,4.146862724441636,0.0,0.034996176510278476,2240
40000,0.5,0.05,0.3957536772974675,0.41785714285714287,61.72663347633594,4.146862724441636,0.0,0.034996176510278476,2240
40000,0.5,0.1,0.3957536772974675,0.41785714285714287,61.72663347633594,4.15066115002354,0.0,0.034996176510278476,2240
160000,0.0,0.001,0.7745190272355238,0.8131229235880398,502.1624939885837,4.907247107052827,0.4735170986405758,0.03706665412295973,8428
160000,0.0,0.01,0.7745190272355238,0.8131229235880398,502.1624939885837,4.907247107052827,0.4735170986405758,0.03706665412295973,8428
160000,0.0,0.05,0.7538454301707512,0.8131229235880398,502.1624939885837,4.902933082300647,0.4528435015758032,0.016393057058187166,8428
160000,0.0,0.1,0.7337833388212052,0.8106312292358804,502.1624939885837,4.980055922461368,0.43278141022625716,-0.003669034291358897,8428
160000,0.15,0.001,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,0.15,0.01,0.6622353406000883,0.674797701419022,427.82116757670764,4.867634590054048,0.3690705835870499,0.04109047807190824,8527
160000,0.15,0.05,0.6389127756989798,0.674797701419022,427.82116757670764,4.795032336006811,0.3457480186859414,0.017767913170799732,8527
160000,0.15,0.1,0.6248750784391196,0.674797701419022,427.82116757670764,4.865274172371792,0.33171032142608126,0.0037302159109395827,8527
160000,0.3,0.001,0.5516295301397068,0.5627314814814814,353.6985389083333,4.9843348434710215,0.26214829355649694,0.043668423046458016,8640
160000,0.3,0.01,0.5516295301397068,0.5627314814814814,353.6985389083333,4.9843348434710215,0.26214829355649694,0.043668423046458016,8640
160000,0.3,0.05,0.528038938825177,0.5627314814814814,353.6985389083333,4.8915722595238575,0.23855770224196715,0.02007783173192823,8640
160000,0.3,0.1,0.5181435180402015,0.5627314814814814,353.6985389083333,4.971782099854386,0.22866228145699163,0.010182410946952714,8640
160000,0.5,0.001,0.39179573043114274,0.38700854700854703,246.87383893037526,4.4753323053046445,0.09943095041462557,0.0344823685133438,8775
160000,0.5,0.01,0.39179573043114274,0.38700854700854703,246.87383893037526,4.6082734380568215,0.09943095041462557,0.0344823685133438,8775
160000,0.5,0.05,0.3834127136764223,0.38700854700854703,246.87383893037526,4.7745657664777985,0.09104793365990516,0.02609935175862338,8775
160000,0.5,0.1,0.383254330094012,0.38700854700854703,246.87383893037526,4.86911915105925,0.09088955007749483,0.025940968176213053,8775
