threshold,ship_recall,empty_dropped,tiles_kept
0.0,1.0,0.0,1.0
0.005,1.0,0.008287292817679558,0.9983082706766917
0.01,0.9997552918145112,0.03130755064456722,0.993421052631579
0.015,0.9995105836290223,0.04604051565377532,0.9900375939849624
0.02,0.9991435213507892,0.06077348066298342,0.9864661654135338
0.025,0.9986541049798116,0.07550644567219153,0.9827067669172932
0.03,0.9986541049798116,0.08931860036832412,0.9798872180451128
0.035,0.9986541049798116,0.09944751381215469,0.9778195488721805
0.04,0.9985317508870671,0.10773480662983426,0.9759398496240601
0.045,0.9980423345160896,0.1279926335174954,0.9712406015037593
0.05,0.9975529181451119,0.1408839779005525,0.9680451127819549
0.055,0.99694114768139,0.15930018416206262,0.9637218045112782
0.06,0.9963293772176679,0.17495395948434622,0.9597744360902256
0.065,0.9955952526612015,0.1841620626151013,0.9569548872180451
0.07,0.9949834821974795,0.2007366482504604,0.9528195488721805
0.075,0.9947387740119907,0.2136279926335175,0.95
0.08,0.9946164199192463,0.23296500920810312,0.9458646616541353
0.085,0.9937599412700355,0.2513812154696133,0.9409774436090226
0.09,0.9935152330845467,0.26887661141804786,0.9370300751879699
0.095,0.9931481708063135,0.289134438305709,0.9323308270676691
0.1,0.9927811085280802,0.30847145488029465,0.9278195488721804
0.105,0.9910681512296586,0.3278084714548803,0.9229323308270677
0.11,0.9900893184877034,0.356353591160221,0.9156015037593985
0.115,0.9895999021167258,0.3729281767955801,0.9114661654135339
0.12,0.9886210693747706,0.3858195211786372,0.9077067669172932
0.125,0.9880092989110486,0.39686924493554326,0.9045112781954887
0.13,0.9870304661690934,0.4116022099447514,0.900375939849624
0.135,0.9862963416126269,0.4300184162062615,0.8956766917293233
0.14,0.9859292793343938,0.4447513812154696,0.8921052631578947
0.145,0.9847057384069497,0.4604051565377532,0.8872180451127819
0.15,0.9844610302214609,0.4686924493554328,0.8851503759398496
0.155,0.9840939679432277,0.48066298342541436,0.8821428571428571
0.16,0.9831151352012725,0.49171270718232046,0.8787593984962406
0.165,0.9822586565520617,0.5027624309392266,0.8751879699248121
0.17,0.9810351156246176,0.5101289134438306,0.8719924812030075
0.175,0.98054569925364,0.5184162062615101,0.8695488721804512
0.18,0.9798115746971736,0.5276243093922652,0.8669172932330828
0.185,0.9791998042334517,0.5368324125230203,0.8640977443609023
0.19,0.9785880337697296,0.5506445672191529,0.8603383458646616
0.195,0.9779762633060076,0.5589318600368324,0.8577067669172932
0.2,0.9772421387495411,0.5681399631675875,0.8546992481203007
0.205,0.9767527223785636,0.572744014732965,0.8530075187969924
0.21,0.9755291814511196,0.58195211786372,0.850375939849624
0.215,0.9745503487091643,0.5911602209944752,0.8471804511278196
0.22,0.9740609323381867,0.5985267034990792,0.8449248120300752
0.225,0.9725926832252539,0.6077348066298343,0.8421052631578947
0.23,0.9719809127615319,0.6123388581952118,0.8402255639097744
0.235,0.9716138504832986,0.6224677716390423,0.837593984962406
0.24,0.9711244341123211,0.6289134438305709,0.8355263157894737
0.245,0.9687997063501774,0.6390423572744015,0.8321428571428572
0.25,0.967453811329989,0.641804788213628,0.8298872180451128
0.255,0.9659855622170561,0.6482504604051565,0.8278195488721805
0.26,0.9646396671968678,0.6574585635359116,0.8246240601503759
0.265,0.9637831885476569,0.6639042357274402,0.8219924812030075
0.27,0.9626820017129573,0.6703499079189686,0.818984962406015
0.275,0.9615808148782576,0.6777163904235728,0.8157894736842105
0.28,0.9599902116725805,0.6813996316758748,0.8133458646616541
0.285,0.9587666707451364,0.6896869244935543,0.8099624060150376
0.29,0.9577878380031812,0.6924493554327809,0.8078947368421052
0.295,0.956809005261226,0.6961325966850829,0.806015037593985
0.3,0.9554631102410376,0.6979742173112339,0.8039473684210526
0.305,0.9536277988498715,0.7007366482504604,0.8016917293233082
0.31,0.9515477792732167,0.7044198895027625,0.799812030075188
0.315,0.9502018842530283,0.7090239410681399,0.7969924812030075
0.32,0.9494677596965618,0.7136279926335175,0.7949248120300751
0.325,0.9476324483053958,0.7191528545119705,0.7921052631578948
0.33,0.9466536155634406,0.7219152854511971,0.7906015037593985
0.335,0.9448183041722745,0.7255985267034991,0.7881578947368421
0.34,0.9423712223173866,0.7302025782688766,0.7860902255639097
0.345,0.9402912027407316,0.7357274401473296,0.7823308270676692
0.35,0.9393123699987764,0.7421731123388582,0.7795112781954887
0.355,0.937966474978588,0.7449355432780848,0.7776315789473685
0.36,0.9375994127003549,0.7541436464088398,0.775187969924812
0.365,0.9353970390309556,0.7550644567219152,0.7727443609022556
0.37,0.9341734981035116,0.7615101289134438,0.7699248120300752
0.375,0.9338064358252783,0.7633517495395948,0.768984962406015
0.38,0.9328276030833231,0.7707182320441989,0.7659774436090225
0.385,0.9323381867123455,0.7744014732965009,0.7644736842105263
0.39,0.9311146457849016,0.7771639042357275,0.7622180451127819
0.395,0.9294016884864799,0.7808471454880295,0.7593984962406015
0.4,0.9271993148170806,0.7826887661141805,0.7569548872180452
0.405,0.925486357518659,0.7863720073664825,0.7548872180451128
0.41,0.9238957543129818,0.7891344383057091,0.7518796992481203
0.415,0.9223051511073045,0.7928176795580111,0.7488721804511278
0.42,0.9207145479016273,0.7974217311233885,0.7464285714285714
0.425,0.9190015906032056,0.7992633517495396,0.744172932330827
0.43,0.9175333414902729,0.8038674033149171,0.7415413533834586
0.435,0.9159427382845956,0.8057090239410681,0.7392857142857143
0.44,0.9147191973571516,0.8130755064456722,0.7362781954887218
0.445,0.9125168236877523,0.8186003683241252,0.7325187969924812
0.45,0.9101920959256087,0.8204419889502762,0.7298872180451128
0.455,0.9083567845344427,0.8222836095764272,0.7280075187969924
0.46,0.906643827236021,0.8268876611418048,0.724624060150376
0.465,0.9045638076593662,0.8314917127071824,0.7218045112781954
0.47,0.9034626208246666,0.8351749539594844,0.7195488721804512
0.475,0.9010155389697785,0.8388581952117864,0.7157894736842105
0.48,0.8996696439495901,0.8453038674033149,0.712593984962406
0.485,0.8988131653003792,0.8499079189686924,0.7105263157894737
0.49,0.895999021167258,0.856353591160221,0.705639097744361
0.495,0.8940413556833476,0.861878453038674,0.7018796992481203
0.5,0.892940168848648,0.8646408839779005,0.7
0.505,0.8906154410865044,0.8664825046040515,0.6971804511278196
0.51,0.8881683592316163,0.8683241252302025,0.693609022556391
0.515,0.8867001101186834,0.8701657458563536,0.6909774436090226
0.52,0.884742444634773,0.8701657458563536,0.6887218045112782
0.525,0.8814388841306742,0.8710865561694291,0.6859022556390978
0.53,0.8781353236265753,0.8729281767955801,0.6819548872180451
0.535,0.876544720420898,0.8775322283609577,0.6787593984962406
0.54,0.875321179493454,0.8830570902394107,0.6759398496240602
0.545,0.8725070353603328,0.8858195211786372,0.6721804511278195
0.55,0.8699375994127003,0.8904235727440147,0.6678571428571428
0.555,0.8687140584852563,0.8922651933701657,0.6659774436090226
0.56,0.8663893307231126,0.8968692449355433,0.662406015037594
0.565,0.8641869570537134,0.8977900552486188,0.6593984962406015
0.57,0.8621069374770586,0.8996316758747698,0.656390977443609
0.575,0.8601492719931482,0.9005524861878453,0.6533834586466165
0.58,0.8580692524164933,0.9005524861878453,0.6507518796992481
0.585,0.8550104000978833,0.9014732965009208,0.6477443609022556
0.59,0.8502385904808516,0.9033149171270718,0.643796992481203
0.595,0.8476691545332191,0.9060773480662984,0.6400375939849624
0.6,0.8432644071944206,0.9097605893186004,0.6355263157894737
0.605,0.8389820139483666,0.9152854511970534,0.6310150375939849
0.61,0.8361678698152453,0.9171270718232044,0.6270676691729323
0.615,0.8306619356417472,0.9189686924493554,0.6233082706766917
0.62,0.8274807292303927,0.9189686924493554,0.6199248120300752
0.625,0.8246665850972715,0.919889502762431,0.6167293233082707
0.63,0.8217300868714058,0.9208103130755064,0.6127819548872181
0.635,0.819038296831029,0.9208103130755064,0.6092105263157894
0.64,0.8148782576777193,0.925414364640884,0.6041353383458646
0.645,0.8125535299155757,0.9263351749539595,0.6007518796992481
0.65,0.8085158448550104,0.929097605893186,0.5954887218045113
0.655,0.8065581793711,0.9318600368324125,0.5924812030075188
0.66,0.8021534320323015,0.932780847145488,0.5885338345864661
0.665,0.7982381010644806,0.934622467771639,0.5851503759398496
0.67,0.7919980423345161,0.93646408839779,0.5787593984962406
0.675,0.7885721277376728,0.9373848987108656,0.5746240601503759
0.68,0.7842897344916188,0.9373848987108656,0.5708646616541353
0.685,0.7811085280802643,0.9401473296500921,0.5672932330827067
0.69,0.7779273216689099,0.9419889502762431,0.5633458646616541
0.695,0.7746237611648109,0.9429097605893186,0.5593984962406015
0.7,0.7698519515477793,0.9465930018416207,0.5535714285714286
0.705,0.7674048696928912,0.9465930018416207,0.5503759398496241
0.71,0.7642236632815368,0.9484346224677717,0.5464285714285714
0.715,0.7600636241282271,0.9493554327808471,0.5426691729323309
0.72,0.758228312737061,0.9502762430939227,0.5411654135338346
0.725,0.755781230882173,0.9521178637200737,0.5383458646616541
0.73,0.7519882540070966,0.9521178637200737,0.5336466165413534
0.735,0.7470940902973204,0.9530386740331491,0.5281954887218046
0.74,0.7437905297932216,0.9548802946593001,0.5238721804511278
0.745,0.7390187201761899,0.9548802946593001,0.5199248120300752
0.75,0.7348586810228802,0.9576427255985267,0.5157894736842106
0.755,0.7293527468493821,0.9585635359116023,0.5112781954887218
0.76,0.7233573963049064,0.9594843462246777,0.5063909774436091
0.765,0.7180961703168971,0.9622467771639043,0.4992481203007519
0.77,0.7130796525143767,0.9631675874769797,0.493796992481203
0.775,0.7057384069497125,0.9659300184162063,0.48778195488721804
0.78,0.6959500795301603,0.9677716390423573,0.48176691729323307
0.785,0.688241771687263,0.9677716390423573,0.47537593984962406
0.79,0.6829805456992536,0.9686924493554327,0.4701127819548872
0.795,0.6773522574330111,0.9705340699815838,0.4635338345864662
0.8,0.6686651168481585,0.9705340699815838,0.45770676691729323
0.805,0.6646274317875933,0.9732965009208103,0.4531954887218045
0.81,0.659977976263306,0.9742173112338858,0.4484962406015038
0.815,0.6526367306986419,0.9742173112338858,0.44360902255639095
0.82,0.6472531506178881,0.9742173112338858,0.43909774436090226
0.825,0.6421142787226233,0.9760589318600368,0.4332706766917293
0.83,0.6372201150128471,0.9769797421731123,0.4272556390977444
0.835,0.6333047840450263,0.9788213627992634,0.42274436090225564
0.84,0.6276764957787838,0.9788213627992634,0.41785714285714287
0.845,0.6193564174721644,0.9788213627992634,0.4114661654135338
0.85,0.6151963783188548,0.9797421731123389,0.40770676691729324
0.855,0.6083445491251682,0.9815837937384899,0.4018796992481203
0.86,0.6024715526734369,0.9825046040515654,0.3968045112781955
0.865,0.5934173498103511,0.9825046040515654,0.3906015037593985
0.87,0.5822831273706105,0.9834254143646409,0.3823308270676692
0.875,0.576043068640646,0.9834254143646409,0.3763157894736842
0.88,0.5667441575920714,0.9843462246777164,0.3693609022556391
0.885,0.5596476202128962,0.9843462246777164,0.362593984962406
0.89,0.5505934173498104,0.9843462246777164,0.3550751879699248
0.895,0.5442310045271014,0.9861878453038674,0.34830827067669173
0.9,0.5368897589624373,0.9861878453038674,0.34116541353383456
0.905,0.5267343692646519,0.9861878453038674,0.33327067669172933
0.91,0.5168236877523553,0.9880294659300184,0.3238721804511278
0.915,0.5098495044659244,0.9880294659300184,0.3174812030075188
0.92,0.4995717606753946,0.988950276243094,0.30714285714285716
0.925,0.48709164321546555,0.990791896869245,0.2962406015037594
0.93,0.4776703780741466,0.9917127071823204,0.2866541353383459
0.935,0.46983971613850484,0.9917127071823204,0.2791353383458647
0.94,0.4549125168236878,0.9935543278084714,0.26597744360902253
0.945,0.4402300256943595,0.9935543278084714,0.2565789473684211
0.95,0.423956931359354,0.9935543278084714,0.24436090225563908
0.955,0.4087850238590481,0.9935543278084714,0.23364661654135338
0.96,0.3876177658142665,0.9935543278084714,0.2174812030075188
0.965,0.3709776092010278,0.9935543278084714,0.20488721804511278
0.97,0.34638443655940293,0.9935543278084714,0.18890977443609022
0.975,0.3238712834944329,0.994475138121547,0.17387218045112782
0.98,0.28936742934051146,0.9953959484346224,0.14981203007518798
0.985,0.25988009298911047,0.996316758747698,0.12857142857142856
0.99,0.22060442921815734,0.9972375690607734,0.10469924812030075
0.995,0.16909335617276397,0.998158379373849,0.07612781954887218
1.0,0.05065459439618255,0.9990791896869244,0.02048872180451128
