strategy,ship_recall,recall_ci95,recall_spread,ceiling_recall,downlink_eff,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,data_reduction_x,dropped_storage
"Bent pipe (raw, FIFO)",0.0017504849316364668,"[0.001, 0.002]","[0.002, 0.002]",0.8351705540048256,0.002095961026454427,0.001402524544179523,0.0016502205907116155,13.19544202496856,35.285729768726696,35.26439869690115,201.719808,60117.8112,298.02631578947364,29366.0
"Phi-sat-2 style, ocean only",0.511756635284099,"[0.505, 0.518]","[0.512, 0.512]",0.511756635284099,1.0,0.5189340813464236,0.5138248071936147,4.50680651205327,9.463823029251953,4.51291242286471,13.21,13.21,4550.931960635881,0.0
"Phi-sat-2 style, fair (+coastal)",0.616596489568056,"[0.610, 0.623]","[0.617, 0.617]",0.616596489568056,1.0,0.6264609630668536,0.6194389249991581,4.511796735161317,9.466871772688561,4.578721362492095,15.941,15.941,3771.2697572297843,0.0
Ours: LoD + no buffer,0.6271940199649902,"[0.621, 0.634]","[0.627, 0.627]",0.6798978095283152,0.9224827778164358,0.6175783076203833,0.6673515643416585,5.0142378323387415,9.757194459275391,5.063892723392709,96.44872,104.65978,623.3137277508712,0.0
Ours: LoD + FIFO,0.6798978095283152,"[0.674, 0.686]","[0.680, 0.680]",0.6798978095283152,1.0,0.6792893875642824,0.7268325868047351,4.561976579405616,9.526241676247448,4.626670827663677,104.65978,104.65978,574.4117864570325,0.0
Ours: LoD + value-greedy,0.6798978095283152,"[0.674, 0.686]","[0.680, 0.680]",0.6798978095283152,1.0,0.6792893875642824,0.7268325868043931,4.489381010995494,9.511807596866849,4.555031933082517,104.65978,104.65978,574.4117864570325,0.0
