tiles,policy,ship_recall,dark_recall,MB_offered,MB_sent,latency_med_h,regret
20000,whole tile always,0.6864643339089619,0.6774474507753134,53.20982650591736,53.209826505917164,4.414316914484203,0.0
20000,"adaptive, fixed >=3",0.6790207963291988,0.6712100494467803,44.155577005917266,44.155577005917166,4.406720579038918,0.0074435375797631265
20000,"adaptive, fixed >=11",0.6711016207468459,0.6640595449504112,37.252739505917205,37.252739505917155,4.408801393614555,0.015362713162116015
20000,"adaptive, fixed >=25",0.6607152633378474,0.6568870600367622,32.39700300591715,32.39700300591706,4.381711714265904,0.02574907057111453
20000,mosaic always,0.6209112303626865,0.6128621159265524,22.020858505917204,22.02085850591718,4.37427741388221,0.06555310354627542
20000,queue-aware (ours),0.6864643339089619,0.6774474507753134,53.20982650591736,53.209826505917164,4.414316914484203,0.0
40000,whole tile always,0.6823551155400398,0.6807930191409929,108.31570606327068,108.31570606327121,4.410499590199285,0.0
40000,"adaptive, fixed >=3",0.6742386882152407,0.6736981910341325,90.5246915632707,90.5246915632712,4.416947621787262,0.008116427324799114
40000,"adaptive, fixed >=11",0.6655419854077085,0.6661248940277508,76.39255756327063,76.3925575632712,4.41458508022861,0.016813130132331322
40000,"adaptive, fixed >=25",0.655411363453082,0.6599870037199336,66.09221256327069,66.09221256327109,4.411938132824368,0.026943752086957762
40000,mosaic always,0.6209754796871009,0.6287807207678766,44.747266063270374,44.74726606327004,4.40562762098577,0.06137963585293893
40000,queue-aware (ours),0.6823551155400398,0.6807930191409929,108.31570606327068,108.31570606327121,4.410499590199285,0.0
80000,whole tile always,0.6867151745778195,0.6805384456520884,214.92948245988052,185.8865565983552,4.556748761411317,0.0
80000,"adaptive, fixed >=3",0.678594182297491,0.6715217685070076,177.2121284598798,177.1951378819271,4.400213184113161,0.008120992280328476
80000,"adaptive, fixed >=11",0.6701369927233045,0.6645009742906673,150.8535894598786,150.83930049867877,4.339405198225958,0.016578181854514984
80000,"adaptive, fixed >=25",0.6607259502982115,0.6558858959129086,131.52072945987805,131.497751578619,4.328429623121534,0.025989224279608036
80000,mosaic always,0.6239848088526347,0.6192316489468503,89.00163695987806,89.00163695987902,4.323694460113964,0.06273036572518476
80000,queue-aware (ours),0.6809339628255018,0.6764949694050846,191.68555595988028,185.88710165502408,4.480887757158998,0.0057812117523177164
160000,whole tile always,0.6627256758210931,0.6845227950144641,428.7179336519929,186.90436407510896,4.864034604769531,0.007872779033910482
160000,"adaptive, fixed >=3",0.6705984548550036,0.6757231624336429,354.89836565199516,186.60315107510925,4.775251391285762,0.0
160000,"adaptive, fixed >=11",0.6676206547491867,0.6669266751982712,301.5617961519973,186.4010424062837,4.604783896895116,0.00297780010581683
160000,"adaptive, fixed >=25",0.6579609588019879,0.6576071705524353,262.4233301520002,186.1863803363217,4.457475350090736,0.012637496053015673
160000,mosaic always,0.6229085251219231,0.6217076899573831,178.58282315199753,178.5828231519967,4.359434694850389,0.047689929733080505
160000,queue-aware (ours),0.6661292344246222,0.6654796155247505,306.06897015199723,186.90362883669908,4.6442816597242675,0.004469220430381338
320000,whole tile always,0.6237017113598076,0.6835165983129292,854.9201068780906,188.62232466346654,4.95184796231948,0.02528514978057972
320000,"adaptive, fixed >=3",0.6366469976193769,0.677027042909062,709.4337248781068,188.0372381634666,4.885753029154304,0.012339863521010352
320000,"adaptive, fixed >=11",0.6463910590825248,0.6681608956179734,602.0736318781288,187.41820516346695,4.761640368483461,0.002595802057862473
320000,"adaptive, fixed >=25",0.6489868611403873,0.6592941203965994,525.3187008781479,187.0600586634679,4.632363149401252,0.0
320000,mosaic always,0.6232935658340278,0.6224959382648494,356.0606758781587,186.37880876263227,4.354992149347076,0.025693295306359443
320000,queue-aware (ours),0.6465578103485825,0.6555573307737954,528.5162533781454,188.62223067764876,4.606058838238467,0.0024290507918047766
