strategy,ship_recall,recall_ci95,recall_spread,ceiling_recall,downlink_eff,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,data_reduction_x,dropped_storage
"Bent pipe (raw, FIFO)",0.002374655256449993,"[0.002, 0.003]","[0.002, 0.003]",0.8411465406970069,0.0028209587564188197,0.002184558904726441,0.0023223160254052374,19.455504835219813,31.45646459267661,23.051641822399024,201.71980799999997,60124.299264,298.0584795321638,29369.666666666668
"Phi-sat-2 style, ocean only",0.5180783321942427,"[0.511, 0.525]","[0.512, 0.526]",0.5180783321942427,1.0,0.5220802404878617,0.5192082242106345,4.422050940209918,9.439687891999355,4.460906138677795,13.536666666666667,13.536666666666667,4441.588224378232,0.0
"Phi-sat-2 style, fair (+coastal)",0.6215711538936334,"[0.615, 0.628]","[0.617, 0.625]",0.6215711538936334,1.0,0.6237079708354972,0.6221827078603527,4.407984850609545,9.42978106026524,4.481259862230813,16.26,16.26,3697.6813815498153,0.0
Ours: LoD + no buffer,0.6201929619450793,"[0.614, 0.627]","[0.618, 0.621]",0.6850504239541705,0.9053608736511004,0.6109912425011591,0.6597193689166292,5.00554713552943,9.666622399836056,5.005360913962292,97.67400793267642,107.95158428477528,615.5608901135885,0.0
Ours: LoD + FIFO,0.6850504239541705,"[0.679, 0.691]","[0.680, 0.690]",0.6850504239541705,1.0,0.6789742592384448,0.7300724076501416,4.451986539880546,9.44940606193645,4.5010651328988445,107.95158428477659,107.95158428477528,556.9561545793707,0.0
Ours: LoD + value-greedy,0.6850504239541705,"[0.679, 0.691]","[0.680, 0.690]",0.6850504239541705,1.0,0.6789742592384448,0.7300724076498087,4.378581440253082,9.433452845813301,4.427511654251254,107.95158428477623,107.95158428477528,556.9561545793727,0.0
