workload,strategy,ship_recall,dark_recall,latency_med_h,MB_sent
REAL detections (WP6),"Bent pipe (raw, FIFO)",0.002374655256449993,0.002184558904726441,19.455504835219813,201.71980799999997
REAL detections (WP6),"Phi-sat-2 style, ocean only",0.5180783321942427,0.5220802404878617,4.422050940209918,13.536666666666667
REAL detections (WP6),"Phi-sat-2 style, fair (+coastal)",0.6215711538936334,0.6237079708354972,4.407984850609545,16.26
REAL detections (WP6),Ours: LoD + no buffer,0.6201929619450793,0.6109912425011591,5.00554713552943,97.67400793267642
REAL detections (WP6),Ours: LoD + FIFO,0.6850504239541705,0.6789742592384448,4.451986539880546,107.95158428477659
REAL detections (WP6),Ours: LoD + value-greedy,0.6850504239541705,0.6789742592384448,4.378581440253082,107.95158428477623
SYNTHETIC (WP5),"Bent pipe (raw, FIFO)",0.0035852713178294573,0.005797101449275362,22.22628783334884,201.719808
SYNTHETIC (WP5),"Phi-sat-2 style, ocean only",0.6928294573643411,0.693719806763285,4.27085993196442,14.761
SYNTHETIC (WP5),"Phi-sat-2 style, fair (+coastal)",0.9961240310077519,0.9980676328502416,4.351854232932952,21.021
SYNTHETIC (WP5),Ours: LoD + no buffer,0.8878875968992248,0.8879227053140096,5.078297294654462,97.50942
SYNTHETIC (WP5),Ours: LoD + FIFO,0.9976259689922481,0.9995169082125603,4.4215107723276645,109.37874
SYNTHETIC (WP5),Ours: LoD + value-greedy,0.9976259689922481,0.9995169082125603,4.354694874157162,109.37874
